Product Name,Brand,Picture,Color,品番,Category,category2,Season,残量,購入日,Boards,Notes,値段
Tシャツ白,シンゾーン,"20SMSCU66-2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/lk-9a6UN5XDfkH-bMunLMg/Mok-Mt_DJrO4u_0y00KgtMOfrzt9QBAv-jP0sBzIJkSVWHiofXoIAJvD2gr1bF2A8koEHw8UktoCvapUzHHgXL1gwdaM7XwSid4iUxCOcsGrsfxCzc0tWdU4-KJuHR9pa6YGX0GMZ3tErEW4bKtdlw/KxR00ZOSYkyn5JpZsPuKABjlYj2Fz6ubs7fMsaHPoCQ),20SMSCU66-6.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/tUeDicEITU1s5B7lNPgN0w/EqMTh8LeIpjdPM7gNUrTIt1bAKvBYZiLch9kfJeZcpae-5Er-sRLd7uVHg_js8TQtXtwERQL1QBQlqbTTPDq1DULLgJJnQVvcHz7oVlSyWsBThuCYZzfV5lJ5JDj3plqCBZqRXMn7xJQTL1CN6EL7w/WNZa8uBJiMoFyfLENTokK1mCu4lBzZNq66wx2hEKSvQ)",White,,トップス,半袖,"春,夏,秋",,,,,
半袖ニット,ビームス,,Beige,,トップス,半袖,,,,,,
Tシャツネイビー,シンゾーン,20SMSCU66_0ffc220a-25b1-4336-870f-bde718e58140.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/LTXeNYYhEcpGsLkPzpA21Q/eLbTJAr1CeHxUwsv0gRTv_p6Qed0m3pLsiK5P_hmgwS0YyQNgYGR2dvBXJgRgUz_-tNSYzSoUQ_RgFHR_Jg-c73e1AzbtuFa71rsutDKgyTYpEooxWQ0D6QMaUD6pQBgNRmiHDpAxR0mkYmadIn8pg/Tbx6gt2kdtglzIJsdiRBCWoDdQFIfRhe6TVqElsEyCo),Navy,,トップス,半袖,,,,,,
Tシャツ白,ATON,KK0013_001_47d54ccc-6167-40b9-b48c-e87e18e91dd4_1000x.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/cEntSICKD-sTDi_JZ6xYPg/6l7kRQPVKKMKq6y6ZXSgc7lmlno0Yq-FZAtXpWCHmeD6GdlDnO3AxXlLF5OkWMUNmSjg7NlfcR0mtJW2HTrDK6SHIR7fPzoX9YHG1LIBBLDTupnujZKByQCMIMBNkUUUfhxuLlMGIk1CtbLWl2duYw/Va75GVPSeLnvEpGt26vcFgTviYll46xd3mGvmnO8Ijw),White,,トップス,半袖,,,,,,
Tシャツ黄,シンゾーン,20SMSCU66-1_1200x.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/rLH2hKaWNoAflURarRH5Mw/K22xnMNrXAmlB9ZpVZFS0GEXSgYFFAiQdOjHk52ylyq2aVg_LhF3LYOVd3w1rhgWxnfjMkGb83eRjnEM-ejzcpKiabHD4H-FPlQGBRWCKG32GxBKu1Rdj3pOGcu7z299MQ_naV_Zo6LMcXvytgydYQ/CtEfTu_FcCzpO_p-rObw-yayiotarj0O5DC2gJ1u3nI),Tan,,トップス,半袖,,,,,,
シャツ,古着,,Blue,,トップス,半袖,,,,,,
リブ,無印,,White,,トップス,半袖,,,,,,
茶ボーダー,ダントン,,Beige,,トップス,半袖,,,,,,
Tシャツボーダー,シンゾーン,20SMSCU66-3.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/9flm8D--Y6tafuILUYF-6Q/Xjae-w7CQRGt4oIRU6mva79z1ly3w7CRjdB6-tQhPOPwUeDZLjFETI70EaFqWn7CBhlZOLqLSDJWVc-aN5BK2b7kbK6koWISOaA7iZ63mZNRAIr7zBe1b2rVhZQcOJBLDf-6QvnLZ-Cw2p7_eD-21A/nCM6Yo_5jiuYEvA7MaI8A5cQxwPBT2pX5aR5kreGFf8),Black,,トップス,半袖,,,,,,
Tシャツ白,ファミマ,7450372.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/L2qyDs3-J0JFah8qkhaSoQ/D1wOhM_0ZaPwsZ1vqzHLDHa_Ry6HMGgRALyOTh9b-5GPNRtWuspTxqf_1l3mJGxxp4gB_iCq6eyhGQ-ceEobsoErd29I-fWSOGqupsQ-3LdlMoFM2fNBpNC1eRWt54K7FEyRvSmgSK-NbeQhEA8bFLM5Bb-UN_Znb9pxILc_tVY/Ol4RFNTWwDjkIhPltvaMFoJ2w_A89mBt-ioqdKmhOMI),White,,トップス,半袖,,,,,,
