所持,お気に入り,大カテゴリ,小カテゴリ,ブランド,商品名,色/タイプ,開封日,残量メモ10段階,容量,購入日,使用期限目安(月),価格,メモ
,3,ポイントメイク,アイシャドウ,ネイミング,,"""01",,5,,,12,,
,5,ポイントメイク,アイシャドウ,ネイミング,,03ラディアント,2025/12,8,,,12,,
,5,ポイントメイク,アイシャドウ,ネイミング,,04セイリーン,,5,,,12,,
,4,ポイントメイク,リップケア,ダイソー,,,,7,,,12,,
,5,ポイントメイク,リップケア,ニベア,,,,8,,,12,,
,5,ポイントメイク,リップケア,ニベア,,,,8,,,12,,
,4,ポイントメイク,リップケア,バーツビーツ,,,,3,,,12,,
,5,ポイントメイク,リップケア,ラネージュ,,,,3,,,12,,
,5,ポイントメイク,リップケア,モアリップ,,,,7,,,12,,
,2,ポイントメイク,リップ,ヒンス,,11チャイ,,3,,,12,,
,2,ポイントメイク,リップ,ヒンス,,02ロウローズ,,3,,,12,,
,5,ポイントメイク,リップ,MAC,,インパルシブ,,4,,,12,,
,5,ポイントメイク,リップ,MAC,,ポッシュピット,2025/12,8,,,12,,
,3,ポイントメイク,リップ,MAC,,ハグミー,2025/12,8,,,12,,
,3,ポイントメイク,リップ,KATE,リップモンスター,115:00AM,,6,,,12,,
,3,ポイントメイク,リップ,KATE,リップモンスター,1096:59PM,,5,,,12,,
,3,ポイントメイク,リップ,KATE,リップモンスター,,,5,,,12,,
,3,ポイントメイク,リップ,KATE,リップモンスター,,,5,,,12,,
,1,ポイントメイク,リップ,KATE,スフレマット,M07,,7,,,12,,
,1,ポイントメイク,リップ,ハートパーセント,,#01,2025/12,10,,,12,,
,2,ポイントメイク,リップペンシル,ハートパーセント,,#06,,5,,,12,,
,5,ポイントメイク,リップペンシル,ハートパーセント,,#20,,10,,,,,
,2,ポイントメイク,リップペンシル,ザセム,カバーパーフェクションコンシーラーペンシル,#20,,10,,,,,
,4,ポイントメイク,チーク,セザンヌ,チークブラッシュ,02シナモンブラウン,2026/01,10,,,12,,
,2,ポイントメイク,チーク,アバウトトーン,フラッフィーウェアブラッシャー,09ドーリッシュミルキーコーラル,2026/01,10,,,12,,
,5,ポイントメイク,チーク,ネイミング,,トースト,,4,,,12,,
,3,ポイントメイク,マスカラ,セザンヌ,ラスティングカールマスカラ,#01,,2,,,12,,
,-,ポイントメイク,マスカラ,ピメル,,,,10,,,12,,
,4,ベースメイク,下地,ポール&ジョー,プロテクティングファンデーションプライマー,#01,,3,,,12,,
