タイプ1,タイプ2,2025/10,,目標,ステータス,ブランド,アイテム,色,春,夏,秋,冬,購入年,処分予定
トップス,半袖,12,,5,◎,シンゾーン,Tシャツ白,白,a,a,a,,,
トップス,半袖,,,,◯,シンゾーン,Tシャツボーダー,黒,,a,,,,
トップス,半袖,,,,◯,シンゾーン,Tシャツ黄,黄,,a,,,,
トップス,半袖,,,,◯,シンゾーン,Tシャツネイビー,紺,,a,,,,
トップス,半袖,,,,△,ファミマ,Tシャツ白,白,,a,,,,
トップス,半袖,,,,◯,アトン,Tシャツ白,白,,a,,,,
トップス,半袖,,,,◯,ダントン,シャツ,白,,a,,,,
トップス,半袖,,,,？,古着,シャツ,青,,a,,,,
トップス,半袖,,,,◯,ビームス,半袖ニット,ベージュ,a,,a,a,,
トップス,半袖,,,,△,ダントン,茶ボーダー,ベージュ,,,,,,
トップス,半袖,,,,△,ダントン,赤ボーダー,赤,,,,,,
トップス,半袖,,,,◯,無印,リブ,白,,,,,,
トップス,半袖,,,,,,,,,,,,,
トップス,半袖,,,,,,,,,,,,,
トップス,長袖,13,,4,◯,？,薄手トップス,黄緑,a,,a,,,
トップス,長袖,,,,◯,KBF,スケスケ,ベージュ,a,,a,,,
トップス,長袖,,,,◯,シンゾーン,シャツ,ピンク,a,,a,,,
トップス,長袖,,,,◯,ジムフレックス,シャツ,緑,a,,a,,,
トップス,長袖,,,,◯,オーシバル,カットソー,紺ボーダー,a,,a,,,
トップス,長袖,,,,◯,シンプリサイト,カットソー,黒ボーダー,a,,a,,,
トップス,長袖,,,,◯,モカ,メロウカットソー,ページュ,a,,a,,,
トップス,長袖,,,,◯,ビームス,薄手ニット,黄緑,a,,a,,,
トップス,長袖,,,,◯,ダントン,ニットカーディガン,黄,,,,a,,
トップス,長袖,,,,◎,モリスアンドサンズ,クルーネックニット,赤,,,,a,,
トップス,長袖,,,,◯,ルトリコチュール,厚手ニット,白,,,,a,,
トップス,長袖,,,,◯,？,ニットカーディガン,グレー,a,,a,a,,
トップス,長袖,,,,◯,,コットンハイネック,黒,,,,a,,
ボトムス,パンツ,6,,5,◎,シンゾーン,スラックス,グレー,a,a,a,a,,
ボトムス,パンツ,,,,◎,シンゾーン,スラックス,ネイビー,a,a,a,a,2025,
ボトムス,パンツ,,,,◯,ユニクロ,スラックス,黒,a,a,a,a,,
ボトムス,パンツ,,,,蔵,ユニクロ,スラックス,黒,a,a,a,a,,
ボトムス,パンツ,,,,◯,？,ワイドパンツ,ブラウン,a,a,a,,,
ボトムス,パンツ,,,,◎,ニート,チノパン,ベージュ,a,,a,a,,
ボトムス,パンツ,,,,◯,無印,コーデュロイ,黒,,,,a,2025/12,
ボトムス,スカート,4,,3,◎,オニールオブダブリン,チェックスカート,グリーン,a,,a,a,,
ボトムス,スカート,,,,,ビームス,オーバースカート,ネイビー,a,,a,a,,
ボトムス,スカート,,,,,ニューヨーカー,チェックスカート,オレンジ,,,a,a,,
ボトムス,スカート,,,,,?,麻スカート,黒,a,,a,a,,
アウター,,5,,4,,ユナイテッドアローズ,トレンチコート,ベージュ,a,,a,a,2019年,
アウター,,,,,,バブアー,オイルジャケット,カーキ,,,a,a,2022年？,
アウター,,,,,,ボンルシール,薄手ダウン,黒,a,,a,a,2024年,
